COMID,lat,lon,frac_1,frac_2,frac_5,frac_6,frac_8,frac_10,frac_14,frac_15,frac_16,frac_17,frac_18,frac_19
71028027,51.1199646163263,-114.994558947288,0.144269093871117,0,0,0,0.182547315955162,0.456513077020645,0,0.00709870690479875,0.00313338334672153,0.187125414609909,0.019313020631671,0
71028039,51.123275208612,-115.057756226511,0.305098831653595,0,0,0.000286170485196635,0.415818303823471,0.163731649518013,0.000413357367506251,0.0010305872419849,0.0103294234722853,0.0460025928914547,0.0572890751063824,0
71028054,51.0735166705954,-115.129856735025,0.486050337553024,0,7.83602590672672e-05,0,0.0971768870949745,0.125933736562729,0.000705242389813066,0.00100562337320298,0.214841693639755,0.0479256212711334,0.0262825153768063,0
71028062,51.1442543913026,-114.528298851973,0.0110045652836561,0,0.00348848826251924,0.00895094964653254,0.426101177930832,0.280284374952316,0.000162070893566124,0.224748119711876,0,0.0349316522479057,0.010328589938581,0
71028073,51.0564601051123,-115.217810001593,0.447293102741241,0,0,0,0.0395414754748344,0.0873654559254646,0.000381052203010768,0,0.292354971170425,0.0640863254666328,0.0689776018261909,0
71028095,51.0467122973386,-115.315660837497,0.568805932998657,0,0,0,0.0535360164940357,0.0757129341363907,0,0,0.207571461796761,0.0736806616187096,0.0206929408013821,0
71028097,51.1015287642045,-114.565284288195,0.0310753919184208,0,0.000236242631217465,0.000669354107230902,0.445502191781998,0.257520169019699,0.000236242631217465,0.195562690496445,0,0.0613407902419567,0.00785692967474461,0
71028132,51.0395826271187,-114.578240112994,0.199654191732407,0,0.00099289056379348,0.00190776609815657,0.521995306015015,0.1893540173769,0.000200472029973753,0.063948780298233,0.00351895554922521,0.0150141892954707,0.00341338687576354,0
71028140,51.1114188309201,-115.395322212008,0.55363941192627,0,0,0,0.0317808873951435,0.115179672837257,0,0,0.22268258035183,0.0531338043510914,0.0235836431384087,0
71028159,51.1491671240395,-115.467816959385,0.595286190509796,0,0,0,0.0111723905429244,0.0525163598358631,0,0,0.28624615073204,0.0151983266696334,0.039580550044775,0
71028189,51.1714664760089,-115.518351869505,0.579436361789703,0.00610600737854838,0,0,0.0326603166759014,0.0264619570225477,0,0.000793919316492975,0.174537315964699,0.0690040662884712,0.110523700714111,0.000476351589895785
71028215,51.0216108617225,-114.759655280203,0.412010699510574,0,0.000145188445458189,0.00620458787307143,0.452416062355042,0.0698860287666321,0,0.0022377073764801,0.0377717949450016,0.0184090323746204,0.000918878067750484,0
71028221,51.1322412795504,-115.524601449276,0.646836698055267,0.00747342174872756,0,0,0.00032819266198203,0.0214658509939909,0,0,0.28687110543251,0.0112804882228374,0.0257442407310009,0
71028249,51.0644108993648,-115.041244567034,0.540491938591003,0,0,0,0.203356966376305,0.128283739089966,0.000166682904819027,0.00332347769290209,0.00338774011470377,0.0771813094615936,0.0438080802559853,0
71028304,51.0144154423571,-115.068604788857,0.559096097946167,0,0,0,0.129262983798981,0.105411060154438,0,0,0.119752064347267,0.0212528444826603,0.0652249678969383,0
71028311,51.0022606360281,-115.48497002283,0.527123391628265,0.000254951126407832,0,0,0.0265422686934471,0.154118150472641,0,0,0.285931050777435,0.000132219473016448,0.00517011154443026,0.00072790973354131
71028377,51.0153830406432,-114.919835309618,0.646394491195679,0,7.47526282793842e-05,0.000465179909951985,0.163893491029739,0.124229848384857,5.81409294682089e-05,0.000340539729222655,0.0445649996399879,0.0182342622429132,0.00174422794952989,0
